73,44,79
63,83,30
46,71,108
66,64,79
88,78,44
35,87,100
101,73,68
78,94,54
96,95,32
100,31,87
57,51,65
103,87,78
83,86,54
63,87,51
86,38,33
44,32,102
100,79,42
32,77,47
74,67,93
74,71,84
77,88,70
59,45,54
36,31,109
99,95,99
80,42,106
32,30,82
32,85,73
83,72,61
34,106,74
96,44,46
50,108,81
68,34,37
37,32,109
58,40,109
81,106,47
63,36,103
101,87,67
107,30,86
55,72,92
37,88,100
70,53,86
52,101,99
70,40,33
78,90,72
108,92,69
61,93,73
109,67,95
66,82,61
59,81,93
74,84,42
44,71,49
37,78,37
96,109,90
44,89,56
37,63,65
40,99,34
48,50,109
90,37,60
84,101,104
60,53,74
64,31,94
65,86,72
80,85,90
41,69,73
37,70,35
58,79,56
82,51,81
48,75,102
45,77,50
90,77,79
85,48,58
93,53,59
46,36,68
95,75,48
79,56,77
64,31,94
46,85,59
88,89,76
48,47,97
109,35,68
66,50,70
85,104,43
41,76,32
33,99,72
43,58,66
64,58,30
63,85,54
71,69,71
63,94,35
59,72,99
32,92,64
108,47,80
52,83,51
44,83,89
53,42,83
47,35,73
66,103,91
54,95,70
89,58,58
45,45,68
41,72,96
57,45,55
105,105,53
43,43,84
97,67,33
60,89,55
61,76,47
68,92,105
49,106,78
41,84,82
85,66,30
37,108,99
83,89,91
72,67,76
88,42,97
86,79,102
54,106,69
48,103,61
58,103,69
42,93,90
36,54,100
75,62,64
60,67,104
74,46,70
101,78,51
105,90,43
89,81,67
31,54,77
68,58,60
87,81,80
30,71,98
47,98,73
65,33,71
80,38,36
73,43,37
41,83,70
86,74,85
36,38,95
86,60,60
50,107,33
31,98,40
103,69,101
102,51,95
66,102,34
36,30,37
109,58,36
49,91,44
90,107,87
105,82,45
84,105,47
62,30,85
89,51,99
103,98,73
82,64,73
48,98,105
31,74,38
76,89,84
95,36,69
36,83,50
96,36,93
66,55,62
69,45,45
105,82,47
76,66,108
108,79,62
39,31,48
47,109,99
46,85,75
86,65,55
95,43,81
67,48,31
99,66,62
61,37,31
108,86,77
42,60,107
93,88,57
77,105,109
90,40,76
76,38,106
103,94,67
58,60,65
68,103,107
67,98,47
107,32,105
50,91,40
39,69,88
101,64,59
82,59,70
49,91,48
104,57,79
94,88,89
90,39,49
68,55,89
56,74,37
50,82,44
79,53,39
67,75,45
85,97,34
50,88,87
50,74,41
73,49,33
69,95,35
44,95,61
62,59,56
102,44,109
78,92,80
104,35,59
60,57,31
87,99,89
57,83,43
33,66,67
101,31,98
52,63,89
71,58,73
65,107,43
104,90,85
59,40,106
67,70,85
97,87,101
75,89,95
43,44,30
74,95,50
31,87,32
38,86,96
52,80,69
104,81,96
81,32,95
77,83,80
109,92,108
100,51,51
73,52,40
78,88,57
54,33,74
61,91,63
90,51,97
59,76,87
64,62,89
54,49,104
90,97,70
58,99,46
41,35,51
48,51,73
40,88,46
58,104,43
61,52,45
86,42,50
33,32,64
56,75,47
90,97,56
46,43,102
45,61,48
34,108,89
83,84,102
30,49,85
64,58,46
75,40,99
55,61,106
44,73,71
46,52,80
96,100,48
67,74,99
58,94,42
78,73,95
89,89,83
70,58,58
33,70,61
51,50,97
99,47,50
99,35,75
60,109,92
87,46,53
76,45,60
44,33,65
39,49,78
57,80,84
48,80,56
45,50,85
41,78,109
41,106,38
52,57,95
72,63,41
96,107,53
34,59,83
32,44,44
96,44,64
92,85,33
87,71,76
97,71,66
72,67,32
77,107,65
49,38,57
31,49,78
92,93,58
48,105,95
56,31,52
107,67,79
96,51,57
55,57,99
49,101,85
45,59,66
88,99,75
56,55,69
55,97,96
108,79,66
104,54,93
88,101,67
45,65,77
31,62,63
46,81,74
40,63,82
67,98,38
67,62,45
108,73,36
32,95,106
54,57,103
60,82,80
91,91,84
59,68,44
78,71,81
33,74,53
45,92,79
51,46,86
83,61,79
66,80,36
49,62,74
62,77,74
47,109,78
77,80,52
109,52,96
88,44,59
106,68,86
33,40,47
71,71,81
33,104,74
66,36,30
65,33,104
68,57,61
74,38,47
58,37,64
109,108,105
85,57,50
91,84,58
85,61,72
93,65,64
79,103,99
56,30,59
99,31,51
31,68,44
107,106,42
37,69,32
75,50,38
97,105,68
46,79,31
86,75,31
90,67,61
98,106,72
73,36,89
75,50,68
107,93,101
38,55,92
100,69,69
76,70,109
72,70,60
56,46,65
103,70,53
81,72,35
80,45,56
68,59,69
105,50,91
68,44,42
57,66,85
100,97,77
45,35,70
106,38,44
41,38,100
74,105,34
89,81,45
94,65,66
48,100,64
31,59,105
105,80,74
80,32,68
88,32,82
60,92,102
52,36,104
62,73,67
63,62,40
102,56,35
109,88,32
65,79,100
36,37,50
78,79,93
94,95,97
42,31,31
49,37,78
104,37,32
96,57,95
30,46,104
89,85,101
92,53,99
30,105,78
47,49,61
99,65,101
91,53,101
75,86,79
92,108,80
53,52,32
83,96,57
65,96,41
75,79,87
100,50,54
38,32,63
92,101,44
69,63,81
92,56,62
87,59,69
103,52,51
82,81,107
43,55,43
54,48,45
101,32,56
102,93,83
83,78,45
77,98,48
98,57,45
44,81,75
95,55,37
60,85,83
60,55,87
49,98,98
102,84,78
97,39,72
44,71,78
99,59,63
94,74,40
43,48,39
106,74,99
58,63,79
51,30,87
48,77,94
64,44,97
39,49,32
105,63,108
92,106,86
109,81,40
44,104,78
62,68,66
76,78,71
94,54,38
108,75,45
68,102,92
91,92,62
72,54,55
51,35,56
78,64,77
92,39,77
41,91,31
104,97,104
73,69,40
41,86,67
80,40,69
34,62,88
45,98,106
59,73,109
75,51,67
87,98,72
